,brewery_name,address,town,zip_code
0,Wagner Valley Brewing Co.,9322 Route 414, Lodi,14860
1,Van Dyck Restaurant & Brewery,237 Union St., Schenectady,12305
2,Typhoon Brewery,22 E. 54th St. (@ Madison), New York,10022
3,Troy Brewing Co.,417-419 River St., Troy,12180
4,The Riverosa Company,101 W. 75th St. Suite 5B, New York,10023
5,Syracuse Suds Factory,320 S Clinton St., Syracuse,13202
6,Spring Street Brewing Company,113 University Place - 11th Floor, New York,10003
7,Southern Tier Brewing Co.,PO Box 166, Lakewood,14750
8,Southampton Publick House,40 Bowden Sq., Southampton,11968
9,Skytop Steakhouse & Brewery,30 Forest Hills Drive, Kingston,12401
10,Sixpoint Craft Ales,40 Van Dyke St., Brooklyn,11231
11,Shea's Brewery,445 St. Paul St., Rochester,14605
12,Shannon Pub,5050 Main St., Snyder,14226
13,Saw Mill River Brewery,201-C Saw Mill River Rd., Yonkers,10701
14,Sacketts Harbor Brewing Co.,PO Box 375, Watertown,13601
15,Roosterfish Brewing Co.,223-301 N Franklin St., Watkins Glen,14891
16,Rohrbach Brewing Co.,3859 Buffalo Rd., Rochester,14624
17,Rochester Brewpub,800 Jefferson Rd., Henrietta,14623
18,Rheingold Brewing Company,130 West 42nd St., New York,10036
19,Ramapo Valley Brewery Canada Ltd,143 Route 59 Bldg. 6, Hillburn,10931
20,Premier Beverages LLC,590 Madison Ave. 21st Fl., New York,10022
21,Peekskill Brewing Co,55 Hudson Ave, Peekskill,10566
22,Pearl Street Grill & Brewery,76 Pearl St., Buffalo,14202
23,Parlor City Brewing Co.,4 W. State St., Binghamton,13901
24,Park Slope Brewing Co.,356 Sixth Ave. (@ 5th St.), Brooklyn,11215
25,Original Saratoga Springs Brewpub,14 Phila St., Saratoga Springs,12866
26,Orchard Park Lanes/Eddies Brewery & Grill,4246 North Buffalo Rd., Orchard Park,14127
27,Olde Saratoga/Kingfisher Brewing Co.,131 Excelsior Ave., Saratoga Springs,12866
28,Old World Brewing Company,2070 Victory Blvd., Staten Island,10314
29,Old Peconic Brewing Company,P.O. Box 2027, Shelter Island,11964
30,Old Heurich Brewing Co.,12 Spire Way, Essex,12936
31,North Country Brewery,131 Excelsior Ave., Saratoga Springs,12866
32,New Amsterdam Brewing Co.,257 Park Ave. S., New York,10010
33,Neptune Brewery,448 W. 16th St., New York,10011
34,Nacho Mama's Brewery,42-42 Thompson St., New York,10013
35,Mountain Valley Brewpub,122 Orange Ave., Suffern,10901
36,Middle Ages Brewing Company,120 Wilkinson St., Syracuse,13204
37,Matt brewing Co.,811 Edward St., Utica,13502
38,Market Street Brewing Co.,63-65 W Market St., Corning,14830
39,Manhattan Brewing Co. Restaurant,40-42 Thompson St., New York,10013
40,Malt River Brewing Co.,800-697 New Loudon Rd., Latham,12110
41,Mac's Village Brewhaus,4246 North Buffalo Rd., Orchard Park,14127
42,Longshore Brewing Co.,1100 Stewart Ave., Garden City,11530
43,Long Island Brewing Co.,111 Jerico Turnpike, Jerico,11753
44,Landmark Brewing Co.,3650 James St.,Syracuse,13206
45,Lake Titus Brewery,HCR 1 Box 58-B, Malone,12953
46,Lake Placid Pub & Brewery,14 Mirror Lake Dr., Lake Placid,12946
47,Lake Placid Craft Brewing Co.,1472 Military Turnpike, Plattsburgh,12901
48,Lake City Brewing Co.,20&22 City Hall Pl., Plattsburgh,12946
49,King Arthurs Steakhouse & Brewery/Camelot Inn,7 West Bridge Road, Oswego,13126
50,Keegan Ales,20 Saint James St., Kingston,12401
51,Keegan Ales,220 Stonebridge Rd., Schuylerville,12871
52,John Street Bar & Grill,17 John St., New York,10038
53,John Harvards Brew House - Lake Grove,2093 Smith Haven Plaza, Lake Grove,11755
54,James Bay Brewery,154 W. Broadway, Port Jefferson,11777
55,Ithaca Beer Co.,606 Elmira Rd., Ithaca,14850
56,Hyde Park Brewing Co.,4076 Albany Post Rd., Hyde Park,12538
57,Hornell Brewing Co.,4501 Glenwood Rd., Brooklyn,11203
58,High Falls Brewing Co.,445 St. Paul St., Rochester,14605
59,Heartland Brewery,35 Union Square West, New York,10003
60,Harlem Brewing Co.,2214 Frederick Douglas Blvd. Ste.286, New York,10026
61,Hansens Times Square Brewery,160 W. 42nd St., New York,10036
62,"Greenport Harbor Brewing Co, LLC",PO Box 57, Greenport,11944
63,Greenpoint Beer Works Inc.,529 Waverly Ave., Brooklyn,11238
64,Great Adirondack Brewing Co.,2442 Main St., Lake Placid,12946
65,Gilded Otter Brewing Co.,PO. Box 57, New Paltz,12561
66,Gentleman Jim's,522 Duchess Turnpike, Poughkeepsie,12603
67,"Genesee Brewing Co., Inc.",445 St. Paul St., Rochester,14605
68,Flying Bison Brewing Co.,491 Ontario St., Buffalo,14207
69,F.X. Matt Brewing Co.,811 Edward St., Utica,13502
70,Empire Brewing Company,120 Walton St., Syracuse,13202
71,Ellicotville Brewing Co. (#2),34 W Main St., Fredonia,14063
72,Ellicotville Brewing Co.,28A Monrow St., Ellicotville,14731
73,Drytown Brewing Company,P.O. Box 258, Treadwell,13846
74,Dry Town Brewery,3 Round House Rd., Oneonta,13820
75,Defiant Brewing Co.,6 E Dexter Plaza, Pearl River,10965
76,Davidson Brothers Restaurant & Brewery,184 Glen St. Rte. 9, Glens Falls,12801
77,Custom Brewcrafters Inc.,93 Paper Mill St., Honeoye Falls,14472
78,Cooperstown Brewing Co.,PO Box 276/River Rd., Milford,13807
79,Coopers Cave Ale Co.,2 Sagamore St., Glens Falls,12801
80,Commonwealth Brewing Co.,10 Rockefeller Plaza (@48th St.), New York,10020
81,Cobblestone Winery & Brewery,268 Broadway, Huntington,11746
82,Chelsea Brewing Co.,59 Chelsea Piers,New York,10011
83,Chapter House Brewpub,400 Stewart Ave., Ithaca,14850
84,CH Evans Brewing Co/Albany Pump Station,19 Quackenbush Sq., Albany,12207
85,Cave Mountain Brewing Co,5359 Main St, Windham,12496
86,Carnegie Hill Brewing Co.,1600 3rd Ave. (@ 90th St.), New York,10028
87,Captain Lawrence Brewing Co.,10 Captain Lawrence Dr., South Salem,10590
88,Butternuts Beer & Ale,4021 State Highway 51, Garrattsville ,13342
89,Buffalo Brewpub,6861 Main St., Buffalo,14221
90,Buffalo Brewing Co.,1830 Abbott Rd., Buffalo (Lackawanna),14218
91,Buckhout Brewing Company,7 W. Bridge Rd., Oswego,13126
92,Brown's Brewing Co.,417 River St., Troy,12180
93,Brown & Moran Brewing Co.,417-419 River St., Troy,12180
94,Brooklyn Brewery,79 N 11th St, Brooklyn,11211
95,Brickhouse Brewery & Restaurant,67 W. Main St., Patchogue,11772
96,Brewery Ommegang,656 County Hwy 33, Cooperstown,13326
97,Breckenridge Brewery (Buffalo),623 Main St., Buffalo,14202
98,Bootleggers Pub & Brewery,411 Cornelia St., Plattsburgh,12901
99,Blue Point Brewing Co.,161 River Ave., Patchogue,11772
100,Black Forest Brew Haus,2015 New Highway, Farmingdale,11735
101,Big House Brewing Company,90 N. Pearl St., Albany,12207
102,Bandwagon Brewing Co,114 N Cayuga St. Ste 3, Ithaca,14850
103,Atlantic Brewing Company (NY),4556 Austin Blvd., Island Park,11558
104,Anheuser-Busch Inc. - Baldwinsville,2885 Belgium Rd, Baldwinsville,13027
105,Adirondack Pub & Brewery,212 W. 79th St., New York,10024
106,A.J. Gordon's Brewing Co.,33 Canada St., Lake George,12845
